system,machine,arch,python_impl,python_version,pydantic_version,strict_models,defer_build,import_time_s,validate_time_s,validate_again_time_s
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.13976821,0.007797958,0.00064625
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.13918575004208833,0.007516707992181182,0.0005933749489486217
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.13988737494219095,0.00758070801384747,0.0005767080001533031
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14235245797317475,0.00794358307030052,0.0005884579150006175
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.13996470894198865,0.007462874986231327,0.0005877499934285879
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.1394940000027418,0.007457249914295971,0.0005832089809700847
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14079262502491474,0.008080875035375357,0.000605874927714467
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.13988770893774927,0.008054375066421926,0.0006072079995647073
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.13911366695538163,0.008183083962649107,0.0006200829520821571
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14502141706179827,0.0077550000278279185,0.0005933750653639436
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2722690000664443,0.0022960409987717867,0.0005790829891338944
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27223700005561113,0.0023718330776318908,0.0005652080290019512
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2757873749360442,0.002321000094525516,0.0005760000785812736
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.28164454095531255,0.0023106669541448355,0.0005885000573471189
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2770977499894798,0.0025282909628003836,0.0006148749962449074
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2740904170786962,0.0022570829605683684,0.0005633749533444643
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2674675409216434,0.002214792068116367,0.0005819170037284493
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27285816601943225,0.0023633750388398767,0.0005765419919043779
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2677275000605732,0.002246249932795763,0.0005634579574689269
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2795310409273952,0.00225779099855572,0.0005686249351128936
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.14911383402068168,0.9223152910126373,0.000254040933214128
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.14618704200256616,0.910849415929988,0.0003315830836072564
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.15295858308672905,0.9457997079007328,0.00024016702082008123
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.14629299996886402,0.9742103329626843,0.0002280839253216982
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.15499820793047547,0.9123432089108974,0.0002375839976593852
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.15097270801197737,0.9112318329280242,0.0002637499710544944
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.14807400002609938,0.9178322500083596,0.00022133300080895424
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.16000949998851866,0.9470219160430133,0.00025162508245557547
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.16665029199793935,0.9221945410827175,0.0002197920111939311
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.14447175001259893,0.8964413329958916,0.00025054102297872305
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.25081474997568876,0.8980060419999063,0.0002163749886676669
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.24441191693767905,0.8723729170160368,0.00027308298740535975
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.25216758297756314,0.8904745829058811,0.0002365419641137123
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.26382925000507385,0.9874987909570336,0.00023458292707800865
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.2793197500286624,0.9437009169487283,0.0003022500313818455
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.2624803329817951,0.8927907909965143,0.0003089170204475522
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.26310654205735773,0.944278874900192,0.0002506669843569398
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.2511404160177335,0.9070502920076251,0.00025512510910630226
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.2553820420289412,0.9042997499927878,0.0002587920753285289
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,false,0.24809558398555964,0.9225282080005854,0.00026483298279345036
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.09281054104212672,0.9300961249973625,0.0002832090249285102
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.09328066697344184,0.9233589160721749,0.0002274590078741312
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.08817408396862447,0.9067056250059977,0.00030250009149312973
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.08849145798012614,0.9129964170278981,0.0003046670462936163
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.08900433301459998,0.921856667031534,0.00022612500470131636
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.09065770800225437,0.9123163750628009,0.00022350007202476263
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.08902566705364734,0.936057582963258,0.00023374997545033693
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.1020647919503972,1.009353750036098,0.00027733296155929565
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.09344333305489272,0.9882405840326101,0.0003155410522595048
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,true,0.09145633294247091,0.9303692079847679,0.0002317499602213502
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.13837291591335088,0.9003573330119252,0.00022375001572072506
